repair_key,repair_item,review_bucket,decision,target_category,canonical_defect,severity_hint,cost_model,notes
engine light on,engine light on.,Real repair gap,Add dictionary rule,mechanical,engine_light_on,high,hard_avoid,
engine noise observed,engine noise observed.,Unknown,Add dictionary rule,mechanical,engine_noise_observed,high,hard_avoid,
other warning light on,other warning light on.,Real repair gap,Add dictionary rule,mechanical,other_warning_light,high,hard_avoid,
engine idling rough,engine idling rough.,Unknown,Add dictionary rule,mechanical,engine_idling_rough,high,hard_avoid,
and,and.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_joiner_noise,low,no_cost,
key yes,Key: Yes.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_vehicle_metadata,,no_cost,
airbag light on,airbag light on.,Real repair gap,Add dictionary rule,mechanical,airbag_light_on,high,hard_avoid,
bidders may find when they do perform a ppsr check highly recommended in many cases the vehicles do have a security interest registered against them,bidders may find when they do perform a ppsr check (highly recommended) in many cases the vehicles do have a security interest registered against them.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_ppsr_security_interest,low,no_cost,bulk high-confidence review 2026-06-26
please allow up to 10 business days for the security interest registration to be removed,please allow up to 10 business days for the security interest registration to be removed.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_ppsr_security_interest,low,no_cost,bulk high-confidence review 2026-06-26
which will be lifted shortly after the relevant vehicle is sold and monies are cleared in the secured party s security holder s account,which will be lifted shortly after the relevant vehicle is sold and monies are cleared in the secured party’s/security holder’s account.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_ppsr_security_interest,low,no_cost,bulk high-confidence review 2026-06-26
engine turns over yes,Engine Turns Over: Yes.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_vehicle_metadata,low,no_cost,bulk high-confidence review 2026-06-26
owners manual yes,Owners Manual: Yes.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_vehicle_metadata,low,no_cost,bulk high-confidence review 2026-06-26
spare key no,Spare Key: No.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_vehicle_metadata,low,no_cost,bulk high-confidence review 2026-06-26
service history partial,Service History: Partial.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_vehicle_metadata,low,no_cost,bulk high-confidence review 2026-06-26
spare key yes,Spare Key: Yes.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_vehicle_metadata,low,no_cost,bulk high-confidence review 2026-06-26
service history no,Service History: No.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_vehicle_metadata,low,no_cost,bulk high-confidence review 2026-06-26
owners manual no,Owners Manual: No.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_vehicle_metadata,low,no_cost,bulk high-confidence review 2026-06-26
mine site vehicle,Mine Site Vehicle.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,usage_risk_history,low,no_cost,bulk high-confidence review 2026-06-26
service history yes,Service History: Yes.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_vehicle_metadata,low,no_cost,bulk high-confidence review 2026-06-26
details of the status can be found in the ppsr attached at the bottom of this description,details of the status can be found in the ppsr attached at the bottom of this description.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_salvage_wovr_disclaimer,low,no_cost,bulk high-confidence review 2026-06-26
please refer to your relevant state based road authority to determine whether this vehicle will require inspection or will be able to be registered based on the recorded wovr status,please refer to your relevant state-based road authority to determine whether this vehicle will require inspection or will be able to be registered based on the recorded wovr status.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_salvage_wovr_disclaimer,low,no_cost,bulk high-confidence review 2026-06-26
location melbourne,location: melbourne.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_location,low,no_cost,bulk high-confidence review 2026-06-26
grays strongly recommends a mechanical inspection be completed prior to bidding,Grays strongly recommends a mechanical inspection be completed prior to bidding.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_salvage_wovr_disclaimer,low,no_cost,bulk high-confidence review 2026-06-26
please be advised this vehicle may not be able to be registered or brought up to a roadworthy condition,Please be advised this vehicle may not be able to be registered or brought up to a roadworthy condition.,Ignore / boilerplate,Ignore as boilerplate,boilerplate,boilerplate_salvage_wovr_disclaimer,low,no_cost,bulk high-confidence review 2026-06-26
