decision_date,lane_key,vehicle_lane,grays_sold_demand,evidence_source,evidence_rows,decision,reason,reconsider_when,apify_run_id,apify_cost_usd
2026-08-05,bmw_x5_3.0d_auto_diesel,BMW X5 3.0d E70 automatic diesel,32,accumulated private Carsales evidence,24,held_flat_fit,Reassessment still produced an implausibly flat proposal because all exact retail evidence is above 110000 km and eight price outliers are trimmed,New exact private evidence below 100000 km provides useful mileage spread and a non-flat fit,,0
2026-07-27,audi_a4_1.8_tfsi_auto_petrol,Audi A4 1.8 TFSI automatic petrol,,private Carsales,5.0,held_insufficient_evidence,Only five exact private listings matched the lane,At least 6-9 clean same-generation rows are available,,
2026-07-27,honda_crv_sport_rd_auto_petrol,Honda CR-V Sport RD automatic petrol,,private Carsales,,held_flat_fit,Returned evidence produced an implausibly flat mileage curve,New exact private evidence provides useful mileage spread and a non-flat fit,,
2026-07-27,volkswagen_golf_90tsi_a7_auto_petrol,Volkswagen Golf 90TSI A7 automatic petrol hatch,,private Carsales,2.0,held_insufficient_evidence,Only two exact private listings matched the lane,At least 6-9 clean same-generation rows are available,uzIjcUtUlBFkOJyoO,0.10147
2026-07-27,volkswagen_golf_comfortline_target,Volkswagen Golf Comfortline target lane,,private Carsales,0.0,held_no_evidence,No exact private listings matched the intended lane,At least 6-9 clean exact private listings are available,PqMerFJuhoW2AWFlB,0.03667
2026-07-27,holden_astra_cd_ah_auto_petrol_hatch,Holden Astra CD AH automatic petrol hatch,25.0,private Carsales,8.0,held_narrow_mileage,Eight exact rows were limited to 107290-187245 km and produced an essentially flat full-range fit,New exact private evidence materially expands the mileage range and supports depreciation,3cF7nmB1ttFVUrxaX|wbuOeL4lixvoEjRmr,0.13334
2026-08-09,ford_kuga_trend_tf_auto_diesel,Ford Kuga Trend TF AWD automatic diesel,15,private Carsales shared batch,5,held_insufficient_evidence,The new batch still returned only two exact diesel examples across TF and TF MkII and did not improve the accumulated five-row lane enough to build,At least 6-9 clean exact same-generation diesel listings with usable mileage spread are available,7WqoauuNvqzoVM5jO,0
2026-07-27,holden_commodore_sv6_ve_auto_petrol_sedan,Holden Commodore SV6 VE automatic petrol sedan,27.0,existing governed curve,12.0,duplicate_existing_curve,The canonical curve and matcher already existed; appended rows duplicated the live grid,Only reconsider as a deliberate evidence-backed refresh of the existing governed curve,,0.0
2026-07-27,toyota_corolla_ascent_seca_zze123r_auto_petrol,Toyota Corolla Ascent Seca ZZE123R automatic petrol hatch,23.0,Carsales catalogue and private Carsales evidence,0.0,held_catalogue_mismatch,Carsales identifies Ascent hatches of this generation as ZZE122R while ZZE123R is Sportivo/manual; the exact paid URL returned no valid Corolla rows,Reconsider only after the Grays series parsing is corrected or independent VIN/build evidence proves an Ascent ZZE123R lane,IGQc03hyzT0QzKoxk,0.08347
2026-08-09,holden_barina_tm_auto_petrol_hatch,Holden Barina TM automatic petrol hatch,28,private Carsales shared batch,6,held_ambiguous_badge,Grays rows omit the badge while Carsales separates CD CDX LS LT RS and unbadged TM; six unbadged retail rows cover only 2011-2012 and cannot safely represent the full TM span,Reconsider when the Grays badge can be resolved or 9 clean same-badge rows span the TM generation,7WqoauuNvqzoVM5jO,0
2026-07-27,holden_cruze_cd_jh_auto_petrol_sedan,Holden Cruze CD JH Series II automatic petrol sedan,31.0,accumulated private Carsales evidence,5.0,held_insufficient_evidence,Only five exact private CD JH Series II automatic petrol sedans are available,At least 6-9 clean exact private sedan rows with usable mileage spread are available,,0.0
2026-07-28,ford_focus_ambiente_lw-mkii_auto_petrol_sedan,Ford Focus Ambiente LW MkII automatic petrol sedan,6.0,private Carsales,2.0,held_insufficient_evidence,Only two exact private sedan listings were returned while the separately governed hatch lane had six usable listings,At least 6-9 clean exact private sedan rows with usable mileage spread are available,fmpVBzFOKZiEPHFCZ,0.09067
2026-07-29,jeep_grand_cherokee_laredo_wk_auto_petrol_ambiguous_drive,Jeep Grand Cherokee Laredo WK automatic petrol with no drivetrain stated,20.0,private Carsales,23.0,held_ambiguous_drivetrain,Carsales evidence contains both 4x2 and 4x4 WK petrol vehicles while these Grays rows omit drivetrain; only the explicit Grays 4x4 lane was published,Reconsider when VIN/specification evidence resolves the drivetrain for the generic Grays rows,i2IihnNErxboNQcAL,0.09667
2026-07-29,dodge_journey_sxt_2.7_auto_petrol,Dodge Journey SXT 2.7 automatic petrol people mover 2008-2010,11.0,private Carsales,3.0,held_insufficient_evidence,The SXT scrape separated into a three-row 2.7L early lane and an eight-row 3.6L later lane; only the later lane was publishable,At least 6-9 clean exact private 2.7L listings with useful mileage spread are available,gqhSAtfwhfIvYKSwE,0.09667
2026-07-29,dodge_journey_rt_2.7_auto_petrol,Dodge Journey R/T 2.7 automatic petrol people mover 2010,1.0,private Carsales,0.0,held_insufficient_evidence,The Grays demand contains one isolated 2010 2.7L R/T while the retail evidence and published lane are 3.6L from 2012 onward,At least 6-9 clean exact private 2.7L R/T listings and meaningful Grays demand are available,47jUvaD5fpGGgiefJ,0.09667
2026-07-29,honda_odyssey_luxury_2004-2008_auto_petrol,Honda Odyssey Luxury automatic petrol people mover 2004-2008,17.0,private Carsales,4.0,held_insufficient_evidence,Only four exact private listings matched the Grays generation; seven other returned Luxury listings were the later 2009-2012 generation and were excluded,At least 6-9 clean exact private 2004-2008 Luxury listings with useful mileage spread are available,uZPAeyfVDsEPJrgXt,0.03667
2026-07-29,suzuki_swift_ez_auto_petrol,Suzuki Swift EZ automatic petrol hatch 2005-2010,17.0,Carsales catalogue probe,0.0,held_catalogue_mismatch,Carsales does not expose EZ as the expected series filter and the paid exact URL returned no Swift rows,Reconsider with a verified year-bounded private Swift URL or an actor that supports explicit 2005-2010 year filters,29SavYiw73mZYTJFg,0.07747
2026-07-29,bmw_1-series_118i_f20-lci_auto_petrol,BMW 1 Series 118i F20 later 1.5 turbo automatic petrol hatch 2015-2019,3.0,private Carsales F20 catalogue split,0.0,held_insufficient_demand,Only three Grays records use the later 1.5 engine and the paid evidence run deliberately targeted the original F20 1.6 lane,Reconsider when the later-engine Grays demand is meaningful and at least 6-9 exact private F20 LCI listings are collected,UPb8AAUxbZ1WVgpVC,0.05827
2026-07-29,bmw_318i_e46_auto_petrol,BMW 318i E46 automatic petrol sedan,19.0,live Carsales exact catalogue page,3.0,held_insufficient_evidence,The exact E46 318i page showed only three private automatic sedans; dealer listings were not used as retail evidence,At least 6-9 clean exact private E46 318i automatic sedan listings with useful mileage spread are available,,0.0
2026-07-29,subaru_tribeca_3.6r-premium_b9_auto_petrol,Subaru Tribeca 3.6R Premium B9 automatic petrol AWD wagon,3.0,private Carsales,19.0,held_insufficient_demand,Nineteen exact private retail listings were available but the current tagged Grays sold history contains only three matching 3.6R Premium vehicles,Reconsider when at least 6 matching Grays sold records are present,EUhTCp2aehwUE9MVN,0.07267
2026-07-29,toyota_prado_gxl_3.0_120_auto_diesel,Toyota LandCruiser Prado GXL 3.0 diesel 120 automatic,13.0,private Carsales batch,17.0,held_narrow_mileage,All returned retail evidence was above 268000 km so a full resale curve would invent the low and normal kilometre range,Reconsider when exact private evidence includes useful coverage below 200000 km,mR71gh69iHA8jcSVG,0.0
2026-07-29,toyota_prado_gxl_3.0_150_auto_diesel,Toyota LandCruiser Prado GXL 3.0 diesel 150 automatic,19.0,private Carsales batch,22.0,held_narrow_mileage,Returned retail evidence started around 139000 km and could not safely anchor the low kilometre curve,Reconsider when exact private evidence materially expands below 100000 km,mR71gh69iHA8jcSVG,0.0
2026-07-29,kia_sorento_platinum_xm_auto_diesel,Kia Sorento Platinum XM AWD automatic diesel,4.0,private Carsales batch,10.0,held_insufficient_demand,The retail lane was usable but only four matching Grays sold vehicles were present,Reconsider when at least 6 matching Grays sold records are present,mR71gh69iHA8jcSVG,0.0
2026-07-29,kia_carnival_s_yp_auto_diesel,Kia Carnival S YP automatic diesel people mover,11.0,private Carsales batch,4.0,held_insufficient_evidence,Only four exact private YP diesel S listings matched after generation and fuel filtering,Reconsider when at least 6-9 clean exact private listings with useful mileage spread are available,mR71gh69iHA8jcSVG,0.0
2026-07-29,mazda_2_g15-gt_dj_auto_petrol,Mazda 2 G15 GT DJ automatic petrol hatch,8.0,private Carsales batch,11.0,held_narrow_mileage,Exact retail evidence stopped near 71000 km and could not support auction-mileage depreciation,Reconsider when exact private evidence includes useful coverage above 120000 km,mR71gh69iHA8jcSVG,0.0
2026-07-29,mazda_2_g15-evolve_dj_auto_petrol,Mazda 2 G15 Evolve DJ automatic petrol hatch,10.0,private Carsales batch,8.0,held_narrow_mileage,Exact retail evidence stopped near 57000 km and would create a flat unsupported high-mileage tail,Reconsider when exact private evidence includes useful coverage above 120000 km,mR71gh69iHA8jcSVG,0.0
2026-07-29,hyundai_kona_elite_os_auto_petrol,Hyundai Kona Elite OS 2WD automatic petrol wagon,10.0,private Carsales batch,6.0,held_narrow_mileage,Only six exact listings were available and their odometers were concentrated between 57000 and 103000 km,Reconsider when at least 9 clean exact listings provide materially wider mileage spread,mR71gh69iHA8jcSVG,0.0
2026-07-29,mg_hs_vibe_auto_petrol,MG HS Vibe FWD automatic petrol wagon,40.0,private Carsales batch,14.0,held_narrow_mileage,Returned retail evidence stopped below 90000 km and could not support the auction-mileage tail,Reconsider when exact private evidence includes useful coverage above 140000 km,mR71gh69iHA8jcSVG,0.0
2026-07-29,mg_hs_excite_auto_petrol,MG HS Excite FWD automatic petrol wagon,13.0,private Carsales batch,9.0,held_narrow_mileage,Nine exact listings were available but all stopped below 85000 km,Reconsider when exact private evidence includes useful coverage above 140000 km,mR71gh69iHA8jcSVG,0.0
2026-07-29,gwm_haval_jolion_premium_auto_petrol,GWM Haval Jolion Premium automatic petrol wagon,22.0,private Carsales batch,6.0,held_narrow_mileage,Only six exact listings were available and all were below 35000 km,Reconsider when exact private evidence spans normal used-car mileage through at least 100000 km,mR71gh69iHA8jcSVG,0.0
2026-07-29,cx3_maxx_sport_dk,mazda_cx-3_maxx-sport_dk_wagon_auto_petrol,0.0,private Carsales shared batch,13.0,held_insufficient_live_grays_demand,The live Grays sold source contains fewer than six matching auction records; an earlier provisional demand signal used a non-live source.,At least 6 matching rows exist in live sold_cars.csv,mR71gh69iHA8jcSVG,0.0
2026-07-29,cx3_maxx_dk,mazda_cx-3_maxx_dk_wagon_auto_petrol,0.0,private Carsales shared batch,13.0,held_insufficient_live_grays_demand,The live Grays sold source contains fewer than six matching auction records; an earlier provisional demand signal used a non-live source.,At least 6 matching rows exist in live sold_cars.csv,mR71gh69iHA8jcSVG,0.0
2026-07-29,cx3_stouring_dk,mazda_cx-3_s-touring_dk_wagon_auto_petrol,0.0,private Carsales shared batch,15.0,held_insufficient_live_grays_demand,The live Grays sold source contains fewer than six matching auction records; an earlier provisional demand signal used a non-live source.,At least 6 matching rows exist in live sold_cars.csv,mR71gh69iHA8jcSVG,0.0
2026-07-29,prado_gxl_28_150,toyota_landcruiser-prado_gxl_2.8-tdi_150_wagon_auto_diesel,0.0,private Carsales shared batch,63.0,held_insufficient_live_grays_demand,The live Grays sold source contains fewer than six matching auction records; an earlier provisional demand signal used a non-live source.,At least 6 matching rows exist in live sold_cars.csv,mR71gh69iHA8jcSVG,0.0
